央视频道,#genre#
CCTV1,http://bgs.cchui.fun:7912/rtp/233.50.200.99:5140
CCTV2,http://bgs.cchui.fun:7912/rtp/233.50.200.25:5140
CCTV3,http://bgs.cchui.fun:7912/rtp/233.50.201.196:5140
CCTV4,http://bgs.cchui.fun:7912/rtp/233.50.200.101:5140
CCTV5,http://bgs.cchui.fun:7912/rtp/233.50.201.197:5140
CCTV5+,http://bgs.cchui.fun:7912/rtp/233.50.201.220:5140
CCTV6,http://bgs.cchui.fun:7912/rtp/233.50.201.198:5140
CCTV7,http://bgs.cchui.fun:7912/rtp/233.50.200.24:5140
CCTV8,http://bgs.cchui.fun:7912/rtp/233.50.201.199:5140
CCTV9,http://bgs.cchui.fun:7912/rtp/233.50.201.121:5140
CCTV10,http://bgs.cchui.fun:7912/rtp/233.50.201.122:5140
CCTV11,http://bgs.cchui.fun:7912/rtp/233.50.200.132:5140
CCTV12,http://bgs.cchui.fun:7912/rtp/233.50.201.123:5140
CCTV13,http://bgs.cchui.fun:7912/rtp/233.50.201.246:5140
CCTV14,http://bgs.cchui.fun:7912/rtp/233.50.201.124:5140
CCTV15,http://bgs.cchui.fun:7912/rtp/233.50.200.133:5140
CCTV16 4K,http://bgs.cchui.fun:7912/rtp/233.50.201.192:5140
CCTV17,http://bgs.cchui.fun:7912/rtp/233.50.200.113:5140
卫视频道,#genre#
浙江卫视4K,http://bgs.cchui.fun:7912/rtp/233.50.202.104:5140
欢笑剧场4K,http://bgs.cchui.fun:7912/rtp/233.50.200.52:5140
重庆卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.143:5140
重庆卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.114:5140
江苏卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.106:5140
江苏卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.144:5140
浙江卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.231:5140
浙江卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.100:5140
浙江卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.145:5140
东方卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.125:5140
东方卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.146:5140
深圳卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.101:5140
深圳卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.188:5140
北京卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.107:5140
北京卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.179:5140
山东卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.105:5140
山东卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.127:5140
天津卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.104:5140
天津卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.104:5140
贵州卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.142:5140
贵州卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.139:5140
四川卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.139:5140
四川卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.118:5140
云南卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.115:5140
广西卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.136:5140
黑龙江卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.115:5140
黑龙江卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.189:5140
安徽卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.113:5140
安徽卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.106:5140
江西卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.145:5140
江西卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.119:5140
湖北卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.114:5140
湖北卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.147:5140
东南卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.146:5140
东南卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.135:5140
吉林卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.164:5140
吉林卫视,http://bgs.cchui.fun:7912/rtp/233.50.202.42:5140
辽宁卫视,http://bgs.cchui.fun:7912/rtp/233.50.201.141:5140
辽宁卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.129:5140
辽宁卫视,http://bgs.cchui.fun:7912/rtp/233.50.200.173:5140
